date,site_code,discharge_cfs
2015-08-04T00:00:00.000,01010000,1640.0
2015-08-05T00:00:00.000,01010000,1520.0
2015-08-06T00:00:00.000,01010000,1580.0
2015-08-07T00:00:00.000,01010000,1560.0
2015-08-08T00:00:00.000,01010000,1310.0
2015-08-09T00:00:00.000,01010000,1080.0
2015-08-10T00:00:00.000,01010000,932.0
2015-08-11T00:00:00.000,01010000,851.0
2015-08-12T00:00:00.000,01010000,1010.0
2015-08-13T00:00:00.000,01010000,1250.0
2015-08-14T00:00:00.000,01010000,1070.0
2015-08-15T00:00:00.000,01010000,864.0
2015-08-16T00:00:00.000,01010000,720.0
2015-08-17T00:00:00.000,01010000,614.0
2015-08-18T00:00:00.000,01010000,549.0
2015-08-19T00:00:00.000,01010000,572.0
2015-08-20T00:00:00.000,01010000,498.0
2015-08-21T00:00:00.000,01010000,484.0
2015-08-22T00:00:00.000,01010000,470.0
2015-08-23T00:00:00.000,01010000,437.0
2015-08-24T00:00:00.000,01010000,401.0
2015-08-25T00:00:00.000,01010000,369.0
2015-08-26T00:00:00.000,01010000,390.0
2015-08-27T00:00:00.000,01010000,654.0
2015-08-28T00:00:00.000,01010000,652.0
2015-08-29T00:00:00.000,01010000,579.0
2015-08-30T00:00:00.000,01010000,466.0
2015-08-31T00:00:00.000,01010000,390.0
2015-09-01T00:00:00.000,01010000,334.0
2015-09-02T00:00:00.000,01010000,289.0
2015-09-03T00:00:00.000,01010000,253.0
2015-09-04T00:00:00.000,01010000,225.0
2015-09-05T00:00:00.000,01010000,204.0
2015-09-06T00:00:00.000,01010000,179.0
2015-09-07T00:00:00.000,01010000,164.0
2015-09-08T00:00:00.000,01010000,159.0
2015-09-09T00:00:00.000,01010000,163.0
2015-09-10T00:00:00.000,01010000,172.0
2015-09-11T00:00:00.000,01010000,181.0
2015-09-12T00:00:00.000,01010000,198.0
2015-09-13T00:00:00.000,01010000,186.0
2015-09-14T00:00:00.000,01010000,230.0
2015-09-15T00:00:00.000,01010000,480.0
2015-09-16T00:00:00.000,01010000,772.0
2015-09-17T00:00:00.000,01010000,659.0
2015-09-18T00:00:00.000,01010000,499.0
2015-09-19T00:00:00.000,01010000,391.0
2015-09-20T00:00:00.000,01010000,322.0
2015-09-21T00:00:00.000,01010000,279.0
2015-09-22T00:00:00.000,01010000,250.0
2015-09-23T00:00:00.000,01010000,228.0
2015-09-24T00:00:00.000,01010000,206.0
2015-09-25T00:00:00.000,01010000,185.0
2015-09-26T00:00:00.000,01010000,167.0
2015-09-27T00:00:00.000,01010000,154.0
2015-09-28T00:00:00.000,01010000,143.0
2015-09-29T00:00:00.000,01010000,137.0
2015-09-30T00:00:00.000,01010000,236.0
2015-10-01T00:00:00.000,01010000,2730.0
2015-10-02T00:00:00.000,01010000,4000.0
2015-10-03T00:00:00.000,01010000,2760.0
2015-10-04T00:00:00.000,01010000,1800.0
2015-10-05T00:00:00.000,01010000,1290.0
